__date,Police District,Incident Category,count,year,month,dayofweek,lag1,lag7,is_weekend,is_holiday,rolling_q75,y_high
2023-11-06,Northern,Stolen Property,1,2023,11,0,1.0,1.0,0,0,1.0,1
2022-06-22,Ingleside,Fraud,1,2022,6,2,6.0,1.0,0,0,2.0,0
2022-05-22,Northern,Suspicious Occ,2,2022,5,6,3.0,1.0,1,0,2.0,1
2020-05-31,Richmond,Assault,1,2020,5,6,1.0,3.0,1,0,2.0,0
2024-07-18,Ingleside,Larceny Theft,6,2024,7,3,7.0,6.0,0,0,7.0,0
2021-09-18,Taraval,Robbery,1,2021,9,5,4.0,2.0,1,0,1.25,0
2024-06-18,Mission,Larceny Theft,5,2024,6,1,8.0,11.0,0,0,9.0,0
2022-06-15,Tenderloin,Weapons Carrying Etc,2,2022,6,2,1.0,2.0,0,0,2.0,1
2024-11-18,Ingleside,Fraud,1,2024,11,0,1.0,2.0,0,0,2.0,0
2021-09-18,Bayview,Robbery,3,2021,9,5,2.0,2.0,1,0,2.0,1
2023-03-03,Taraval,Other Miscellaneous,1,2023,3,4,1.0,2.0,0,0,2.0,0
2021-01-10,Mission,Motor Vehicle Theft,3,2021,1,6,2.0,2.0,1,0,3.0,1
2023-05-01,Bayview,Other,1,2023,5,0,1.0,2.0,0,0,1.0,1
2023-07-04,Mission,Burglary,3,2023,7,1,3.0,3.0,0,1,4.25,0
2022-06-01,Northern,Other Miscellaneous,2,2022,6,2,1.0,3.0,0,0,3.0,0
2022-08-07,Mission,Burglary,2,2022,8,6,3.0,4.0,1,0,3.0,0
2023-01-23,Taraval,Traffic Violation Arrest,1,2023,1,0,1.0,1.0,0,0,1.0,1
2022-10-10,Ingleside,Weapons Offense,1,2022,10,0,1.0,1.0,0,1,1.0,1
2023-06-25,Bayview,Lost Property,1,2023,6,6,1.0,1.0,1,0,1.0,1
2024-08-01,Southern,Motor Vehicle Theft,4,2024,8,3,3.0,2.0,0,0,5.0,0
2022-11-27,Mission,Missing Person,3,2022,11,6,1.0,2.0,1,0,2.0,1
2020-03-23,Mission,Malicious Mischief,1,2020,3,0,2.0,1.0,0,0,4.0,0
2021-05-31,Bayview,Motor Vehicle Theft,7,2021,5,0,3.0,6.0,0,1,5.25,1
2024-10-28,Central,Larceny Theft,9,2024,10,0,15.0,8.0,0,0,12.0,0
2022-02-15,Bayview,Missing Person,1,2022,2,1,1.0,2.0,0,0,2.0,0
2020-12-19,Bayview,Traffic Violation Arrest,1,2020,12,5,1.0,1.0,1,0,1.25,0
2024-12-09,Central,Vandalism,1,2024,12,0,1.0,1.0,0,0,1.0,1
2023-07-26,Northern,Fraud,2,2023,7,2,2.0,1.0,0,0,2.0,1
2020-08-01,Bayview,Other Miscellaneous,1,2020,8,5,4.0,4.0,1,0,3.25,0
2024-12-16,Tenderloin,Suspicious Occ,1,2024,12,0,1.0,2.0,0,0,2.0,0
2023-10-14,Park,Larceny Theft,6,2023,10,5,3.0,3.0,1,0,6.0,1
2022-06-09,Bayview,Other Miscellaneous,1,2022,6,3,1.0,4.0,0,0,3.0,0
2021-06-20,Ingleside,Suspicious Occ,1,2021,6,6,1.0,1.0,1,0,1.25,0
2023-02-13,Ingleside,Recovered Vehicle,2,2023,2,0,3.0,2.0,0,0,3.0,0
2021-10-03,Taraval,Motor Vehicle Theft,4,2021,10,6,2.0,1.0,1,0,3.0,1
2024-09-24,Southern,Other Miscellaneous,2,2024,9,1,3.0,5.0,0,0,5.25,0
2022-02-12,Northern,Recovered Vehicle,1,2022,2,5,1.0,1.0,1,0,2.0,0
2023-11-05,Tenderloin,Recovered Vehicle,5,2023,11,6,1.0,2.0,1,0,2.25,1
2020-06-20,Tenderloin,Larceny Theft,4,2020,6,5,1.0,6.0,1,0,4.25,0
2022-01-15,Taraval,Lost Property,3,2022,1,5,1.0,1.0,1,0,1.0,1
2022-04-23,Southern,Malicious Mischief,2,2022,4,5,3.0,4.0,1,0,4.25,0
2020-05-28,Bayview,Malicious Mischief,6,2020,5,3,2.0,1.0,0,0,4.0,1
2023-04-08,Ingleside,Motor Vehicle Theft,4,2023,4,5,10.0,3.0,1,0,6.0,0
2023-03-13,Central,Malicious Mischief,9,2023,3,0,1.0,4.0,0,0,7.0,1
2024-05-30,Central,Drug Offense,3,2024,5,3,1.0,1.0,0,0,3.0,1
2021-05-20,Ingleside,Other Miscellaneous,1,2021,5,3,1.0,1.0,0,0,3.0,0
2023-08-28,Tenderloin,Non-Criminal,2,2023,8,0,2.0,1.0,0,0,3.0,0
2024-05-15,Tenderloin,Larceny Theft,2,2024,5,2,3.0,3.0,0,0,4.0,0
2024-01-07,Taraval,Arson,1,2024,1,6,1.0,1.0,1,0,1.0,1
2020-06-21,Richmond,Offences Against The Family And Children,1,2020,6,6,1.0,4.0,1,0,1.0,1
2024-10-19,Bayview,Warrant,1,2024,10,5,2.0,1.0,1,0,2.0,0
2022-08-20,Mission,Assault,5,2022,8,5,4.0,1.0,1,0,5.25,0
2024-11-16,Southern,Other Miscellaneous,2,2024,11,5,9.0,5.0,1,0,5.25,0
2024-09-06,Mission,Stolen Property,1,2024,9,4,1.0,1.0,0,0,1.0,1
2024-09-02,Bayview,Fire Report,1,2024,9,0,1.0,1.0,0,1,1.0,1
2024-07-21,Mission,Motor Vehicle Theft,1,2024,7,6,1.0,2.0,1,0,4.0,0
2022-01-16,Northern,Other Miscellaneous,5,2022,1,6,4.0,2.0,1,0,5.0,1
2021-03-28,Tenderloin,Other Miscellaneous,3,2021,3,6,4.0,3.0,1,0,4.0,0
2023-04-25,Ingleside,Robbery,2,2023,4,1,1.0,5.0,0,0,2.0,1
2022-04-20,Northern,Motor Vehicle Theft,2,2022,4,2,4.0,2.0,0,0,3.0,0
2022-12-27,Ingleside,Larceny Theft,12,2022,12,1,10.0,17.0,0,0,9.25,1
2023-12-24,Mission,Malicious Mischief,3,2023,12,6,3.0,1.0,1,0,4.0,0
2022-10-24,Mission,Non-Criminal,1,2022,10,0,2.0,2.0,0,0,3.0,0
2020-03-24,Ingleside,Missing Person,1,2020,3,1,1.0,3.0,0,0,2.0,0
2022-07-10,Southern,Other Miscellaneous,1,2022,7,6,2.0,4.0,1,0,5.0,0
2021-12-28,Richmond,Burglary,1,2021,12,1,4.0,2.0,0,0,2.25,0
2021-11-08,Southern,Other Miscellaneous,3,2021,11,0,1.0,2.0,0,0,6.0,0
2023-09-23,Mission,Assault,6,2023,9,5,1.0,6.0,1,0,6.0,1
2020-03-08,Central,Malicious Mischief,3,2020,3,6,2.0,5.0,1,0,4.0,0
2020-08-19,Central,Larceny Theft,9,2020,8,2,5.0,18.0,0,0,17.25,0
2021-06-07,Mission,Lost Property,1,2021,6,0,1.0,2.0,0,0,2.0,0
2024-11-29,Northern,Suspicious Occ,3,2024,11,4,1.0,1.0,0,0,1.0,1
2020-06-28,Ingleside,Lost Property,1,2020,6,6,1.0,1.0,1,0,1.0,1
2023-08-21,Tenderloin,Robbery,2,2023,8,0,2.0,1.0,0,0,2.0,1
2022-12-19,Park,Larceny Theft,3,2022,12,0,3.0,16.0,0,0,8.25,0
2024-11-16,Taraval,Motor Vehicle Theft,1,2024,11,5,1.0,2.0,1,0,2.0,0
2023-03-01,Tenderloin,Suspicious Occ,1,2023,3,2,1.0,2.0,0,0,2.0,0
2020-10-12,Mission,Offences Against The Family And Children,2,2020,10,0,1.0,1.0,0,1,2.0,1
2020-10-13,Southern,Malicious Mischief,5,2020,10,1,4.0,3.0,0,0,5.0,1
2022-03-17,Ingleside,Other Miscellaneous,2,2022,3,3,4.0,1.0,0,0,2.25,0
2021-06-19,Taraval,Larceny Theft,9,2021,6,5,5.0,3.0,1,1,7.25,1
2023-12-04,Taraval,Malicious Mischief,3,2023,12,0,5.0,4.0,0,0,4.0,0
2022-05-01,Out of SF,Motor Vehicle Theft,2,2022,5,6,1.0,1.0,1,0,1.0,1
2022-04-06,Southern,Burglary,2,2022,4,2,2.0,1.0,0,0,3.0,0
2021-02-05,Central,Larceny Theft,18,2021,2,4,8.0,18.0,0,0,17.25,1
2024-07-12,Northern,Assault,2,2024,7,4,1.0,2.0,0,0,4.0,0
2022-09-25,Central,Disorderly Conduct,2,2022,9,6,1.0,1.0,1,0,2.0,1
2021-09-21,Mission,Lost Property,1,2021,9,1,3.0,2.0,0,0,2.25,0
2020-03-29,Mission,Missing Person,3,2020,3,6,1.0,1.0,1,0,2.0,1
2024-06-11,Out of SF,Fraud,1,2024,6,1,2.0,1.0,0,0,1.25,0
2022-03-31,Tenderloin,Drug Offense,1,2022,3,3,10.0,9.0,0,0,7.25,0
2023-05-14,Northern,Other Miscellaneous,4,2023,5,6,4.0,5.0,1,0,5.25,0
2024-08-31,Tenderloin,Larceny Theft,2,2024,8,5,1.0,5.0,1,0,5.0,0
2022-03-05,Tenderloin,Disorderly Conduct,1,2022,3,5,2.0,2.0,1,0,1.0,1
2021-10-02,Northern,Motor Vehicle Theft,2,2021,10,5,1.0,3.0,1,0,3.0,0
2023-05-24,Ingleside,Suspicious Occ,1,2023,5,2,1.0,2.0,0,0,2.0,0
2022-02-02,Central,Burglary,2,2022,2,2,4.0,1.0,0,0,4.0,0
2023-02-13,Bayview,Non-Criminal,1,2023,2,0,1.0,1.0,0,0,2.0,0
2020-02-01,Park,Motor Vehicle Theft,2,2020,2,5,1.0,1.0,1,0,2.0,1
2023-10-24,Central,Burglary,1,2023,10,1,2.0,1.0,0,0,2.0,0
2021-05-15,Southern,Larceny Theft,5,2021,5,5,12.0,5.0,1,0,8.0,0
2021-11-05,Out of SF,Fraud,2,2021,11,4,3.0,1.0,0,0,2.0,1
2023-04-14,Tenderloin,Malicious Mischief,3,2023,4,4,2.0,2.0,0,0,3.0,1
2023-01-19,Mission,Missing Person,3,2023,1,3,2.0,1.0,0,0,3.0,1
2023-01-08,Bayview,Suspicious Occ,1,2023,1,6,3.0,1.0,1,0,2.0,0
2021-08-06,Out of SF,Larceny Theft,1,2021,8,4,1.0,4.0,0,0,2.0,0
2023-03-28,Mission,Larceny Theft,6,2023,3,1,12.0,10.0,0,0,11.0,0
2020-11-07,Park,Traffic Violation Arrest,1,2020,11,5,1.0,3.0,1,0,1.0,1
2024-10-13,Central,Malicious Mischief,3,2024,10,6,3.0,8.0,1,0,4.0,0
2023-09-27,Central,Traffic Violation Arrest,1,2023,9,2,1.0,1.0,0,0,1.0,1
2022-01-11,Southern,Assault,2,2022,1,1,4.0,4.0,0,0,4.0,0
2021-10-08,Northern,Miscellaneous Investigation,2,2021,10,4,1.0,1.0,0,0,1.0,1
2020-06-19,Southern,Non-Criminal,1,2020,6,4,2.0,1.0,0,0,2.0,0
2021-07-23,Mission,Larceny Theft,19,2021,7,4,11.0,12.0,0,0,13.0,1
2021-03-30,Central,Robbery,1,2021,3,1,1.0,4.0,0,0,2.0,0
2024-01-24,Taraval,Motor Vehicle Theft,3,2024,1,2,1.0,5.0,0,0,4.25,0
2022-02-14,Tenderloin,Warrant,2,2022,2,0,1.0,1.0,0,0,3.0,0
2021-09-23,Park,Recovered Vehicle,2,2021,9,3,1.0,1.0,0,0,2.0,1
2023-01-16,Ingleside,Missing Person,1,2023,1,0,1.0,1.0,0,1,2.0,0
2020-08-28,Ingleside,Malicious Mischief,1,2020,8,4,2.0,1.0,0,0,3.25,0
2024-09-15,Central,Robbery,1,2024,9,6,1.0,1.0,1,0,2.0,0
2020-08-13,Richmond,Larceny Theft,14,2020,8,3,7.0,7.0,0,0,11.0,1
2023-02-20,Northern,Miscellaneous Investigation,3,2023,2,0,1.0,1.0,0,1,1.0,1
2022-12-06,Central,Larceny Theft,20,2022,12,1,43.0,29.0,0,0,35.5,0
2021-09-05,Park,Other Miscellaneous,1,2021,9,6,2.0,1.0,1,0,2.0,0
2023-01-14,Central,Motor Vehicle Theft,3,2023,1,5,1.0,2.0,1,0,2.0,1
2021-09-21,Northern,Larceny Theft,12,2021,9,1,14.0,24.0,0,0,21.25,0
2024-02-12,Northern,Burglary,2,2024,2,0,2.0,1.0,0,0,4.0,0
2023-10-27,Southern,Assault,2,2023,10,4,1.0,6.0,0,0,5.0,0
2020-10-25,Northern,Malicious Mischief,1,2020,10,6,4.0,1.0,1,0,5.0,0
2021-05-22,Northern,Fraud,1,2021,5,5,2.0,1.0,1,0,3.0,0
2024-10-23,Richmond,Assault,3,2024,10,2,3.0,1.0,0,0,2.0,1
2023-07-31,Bayview,Robbery,1,2023,7,0,1.0,1.0,0,0,2.0,0
2023-01-23,Tenderloin,Other Miscellaneous,2,2023,1,0,1.0,5.0,0,0,5.0,0
2024-05-20,Ingleside,Warrant,2,2024,5,0,1.0,1.0,0,0,2.0,1
